,k5,k6,k7,score,score_init
122,10.0,11.57894737,0.316842105,946,1138
123,10.0,11.57894737,0.33763157899999996,965,1138
124,10.0,11.57894737,0.358421053,1087,1138
125,10.0,11.57894737,0.379210526,1154,1138
126,10.0,11.57894737,0.4,1170,1138
127,10.0,12.0,0.048867018,440,1138
128,10.0,12.89473684,0.005,4126,1138
129,10.0,12.89473684,0.025789474,422,1138
130,10.0,12.89473684,0.046578947,406,1138
131,10.0,12.89473684,0.067368421,348,1138
132,10.0,12.89473684,0.088157895,400,1138
133,10.0,12.89473684,0.108947368,471,1138
134,10.0,12.89473684,0.129736842,402,1138
135,10.0,12.89473684,0.150526316,437,1138
136,10.0,12.89473684,0.171315789,435,1138
137,10.0,12.89473684,0.192105263,437,1138
138,10.0,12.89473684,0.212894737,409,1138
139,10.0,12.89473684,0.233684211,340,1138
140,10.0,12.89473684,0.254473684,480,1138
141,10.0,12.89473684,0.275263158,471,1138
142,10.0,12.89473684,0.296052632,784,1138
143,10.0,12.89473684,0.316842105,861,1138
144,10.0,12.89473684,0.33763157899999996,1062,1138
145,10.0,12.89473684,0.358421053,1067,1138
146,10.0,12.89473684,0.379210526,1103,1138
147,10.0,12.89473684,0.4,1247,1138
148,10.0,13.0,0.061003253,464,1138
149,10.0,14.21052632,0.005,3951,1138
150,10.0,14.21052632,0.025789474,395,1138
151,10.0,14.21052632,0.046578947,413,1138
152,10.0,14.21052632,0.067368421,486,1138
153,10.0,14.21052632,0.088157895,440,1138
154,10.0,14.21052632,0.108947368,415,1138
155,10.0,14.21052632,0.129736842,476,1138
156,10.0,14.21052632,0.150526316,425,1138
157,10.0,14.21052632,0.171315789,441,1138
158,10.0,14.21052632,0.192105263,483,1138
159,10.0,14.21052632,0.212894737,443,1138
160,10.0,14.21052632,0.233684211,422,1138
161,10.0,14.21052632,0.254473684,460,1138
162,10.0,14.21052632,0.275263158,472,1138
163,10.0,14.21052632,0.296052632,908,1138
164,10.0,14.21052632,0.316842105,914,1138
165,10.0,14.21052632,0.33763157899999996,889,1138
166,10.0,14.21052632,0.358421053,1040,1138
167,10.0,14.21052632,0.379210526,1163,1138
168,10.0,14.21052632,0.4,1158,1138
169,10.0,15.52631579,0.005,4268,1138
170,10.0,15.52631579,0.025789474,381,1138
171,10.0,15.52631579,0.046578947,435,1138
172,10.0,15.52631579,0.067368421,442,1138
173,10.0,15.52631579,0.088157895,364,1138
174,10.0,15.52631579,0.108947368,428,1138
