0	1138	0	0
30	1170	2	0
60	1165	19	15
90	1074	97	58
120	989	210	65
150	988	249	67
180	1007	256	67
210	1012	263	87
240	926	321	139
270	872	377	162
300	856	406	165
330	869	411	167
360	864	415	194
390	784	442	265
420	746	479	284
450	753	491	287
480	769	495	287
510	768	498	313
540	716	514	374
570	698	527	392
600	701	473	395
630	722	354	396
660	711	304	420
690	660	308	477
720	630	322	503
750	645	283	505
780	663	217	505
810	653	191	528
840	602	203	575
870	582	219	594
900	592	202	596
930	607	165	596
960	599	152	614
990	543	164	669
1020	519	176	690
1050	535	162	691
1080	544	146	691
1110	531	138	716
1140	487	147	767
1170	465	156	792
1200	478	151	795
1230	490	129	796
1260	488	123	819
1290	449	128	862
1320	440	135	882
1350	439	121	887
1380	459	104	887
1410	455	98	900
1440	425	100	940
