	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	-7.44182493005606e-05	0.02440019901219906	0.01852190556642642	-7.44182493005606e-05	0.02440019901219906	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.944885752572201	0.8899999999999881	0.3399999999999935	0.559999999999991	0.5	1.0	0.0	0.0	0.4991212653778559	0.0	0.0	1.0	0.0	0.0
1	30	2423.4214716115825	0.0	5.0	14.0	41.38233714102545	524.8550880012575	1898.56638361033	0.7492342431251061	0.0	-0.0014485602128014806	0.0251633967885859	0.017275270526594548	-0.0014485602128014806	0.0251633967885859	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.82443185135253	0.88999999999999	0.339999999999993	0.5599999999999897	0.5	1.0	0.0	0.8153846153846154	0.4982905982905983	0.002564102564102564	0.0	0.16616961188029597	0.519140966979673	0.31468942114003107
2	60	2371.2613692002433	0.0	5.0	14.0	69.2505428798301	513.911793366237	1857.3495758340066	0.7478575688875104	0.0	-0.0057624117997700786	0.03179855942326426	0.02095447979632461	-0.0057624117997700786	0.03179855942326426	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.794815651058116	0.8899999999999896	0.33999999999999303	0.55999999999999	0.5	1.0	0.0	0.09098712446351931	0.4901287553648069	0.26008583690987125	0.0	0.26642530345221754	0.4537947921046273	0.2797799044431545
3	90	2307.7472908211967	0.0	5.0	14.0	94.25789725791421	500.6823600785545	1807.0649307426424	0.7460239984502515	0.0	-0.005159250459886189	0.022667655665808993	0.024789754972445916	-0.005159250459886189	0.022667655665808993	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.80516782835804	0.8899999999999882	0.3399999999999946	0.5599999999999937	0.5	1.0	0.0	0.0	0.4618249534450652	0.2914338919925512	0.0	0.4848684676358681	0.3169883536824284	0.19814317868170228
4	120	2238.2822460317166	0.0	5.0	14.0	116.42324870070328	486.29161172914473	1751.990634302573	0.7438938060580683	0.0	0.0061605860511395275	0.014841869496057682	0.02449717386418039	0.0061605860511395275	0.014841869496057682	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.80257456605122	0.8899999999999885	0.33999999999999625	0.5599999999999978	0.5	1.0	0.0	0.0	0.39838220424671383	0.12537917087967643	0.0	0.7093115050115036	0.17800035650799434	0.11268813848050224
5	150	2162.945333509913	0.0	5.0	14.0	135.1057135374505	470.71112913452174	1692.2342043753927	0.7417748419510216	0.0	0.01372494044279381	0.02205984183749267	0.020178596820612633	0.01372494044279381	0.02205984183749267	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.75265752005666	0.8899999999999885	0.33999999999999625	0.5599999999999979	0.5	1.0	0.0	0.0	0.37449392712550605	0.02834008097165992	0.0	0.8619005154878407	0.0843177928042316	0.053781691707926814
6	180	2134.74735957825	0.0	5.0	14.0	157.3940123882996	465.42365779574914	1669.3237017825015	0.7396766729736234	0.0	0.006554902047940876	0.024472225948986934	0.015340674560048341	0.006554902047940876	0.024472225948986934	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.8507514011373	0.8899999999999884	0.33999999999999586	0.559999999999997	0.5	1.0	0.0	0.5819265143992055	0.3753723932472691	0.007944389275074478	0.0	0.1866952233304724	0.5064646910841828	0.3068400855853457
7	210	2094.3815774387003	0.0	5.0	14.0	175.95007961959368	457.4782433256632	1636.9033341130378	0.7376247341234294	0.0	0.006148892696834105	0.02407847490509523	0.016532863413720265	0.006148892696834105	0.02407847490509523	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.88131219693557	0.8899999999999884	0.33999999999999575	0.5599999999999966	0.5	1.0	0.0	0.11166007905138339	0.3774703557312253	0.16403162055335968	0.0	0.2887679700655535	0.43987598858064847	0.2713560413537978
8	240	2051.114676755699	0.0	5.0	14.0	193.93144460587735	449.3005450820163	1601.8141316736842	0.7350218321455722	0.0	0.0002396302365013875	0.022712697130658103	0.021271044530249382	0.0002396302365013875	0.022712697130658103	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.7874409304582	0.8899999999999886	0.3399999999999977	0.5600000000000014	0.5	1.0	0.0	0.0	0.34773218142548595	0.20734341252699784	0.0	0.4964909310022316	0.31004868915046363	0.19346037984730446
9	270	2011.2272815746185	0.0	5.0	14.0	209.29191548742668	441.74973656245487	1569.4775450121629	0.7332077823150615	0.0	0.004581723616028258	0.023993784835169073	0.02388779903278613	0.004581723616028258	0.023993784835169073	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.79858385245194	0.8899999999999887	0.3399999999999991	0.560000000000002	0.5	1.0	0.0	0.0	0.3176605504587156	0.06880733944954129	0.0	0.7107868482250559	0.17720026855523713	0.11201288321970568
