0	1138	0	0
30	1159	1	0
60	1158	18	10
90	1051	105	47
120	960	202	61
150	947	242	62
180	956	257	62
210	977	264	78
240	881	314	146
270	838	362	166
300	844	379	170
330	859	381	172
360	849	383	195
390	792	413	248
420	759	439	276
450	762	449	283
480	782	453	283
510	791	455	294
540	735	474	348
570	706	491	377
600	701	435	381
630	716	325	382
660	722	279	398
690	660	279	460
720	639	287	483
750	639	262	489
780	664	207	489
810	655	181	509
840	601	196	569
870	561	220	598
900	576	197	601
930	589	177	601
960	585	164	616
990	546	172	663
1020	523	179	691
1050	530	173	692
1080	544	152	692
1110	533	141	705
1140	496	144	746
1170	484	156	765
1200	485	152	770
1230	496	132	771
1260	496	123	783
1290	443	127	842
1320	436	136	857
1350	446	125	859
1380	454	97	859
1410	445	94	883
1440	412	100	926
