	time	tnf
0	0	0.0
1	30	279.95411035815334
2	60	121.17074568860258
3	90	52.09579497724163
4	120	22.321869187656695
5	150	9.548254239680544
6	180	280.58137938066636
7	210	121.69562958407383
8	240	52.48827600037498
9	270	22.561318305718185
10	300	9.6778806132001
11	330	280.90640020637045
12	360	121.95633681450353
13	390	52.68273393202705
14	420	22.680204835173676
15	450	9.742393860908997
16	480	281.12279231455847
17	510	122.0997578063222
18	540	52.776729159181166
19	570	22.738954673732483
20	600	9.77612583085443
21	630	281.1574833654372
22	660	122.15436621947408
23	690	52.840246763620335
24	720	22.785879303323107
25	750	9.80506094912706
26	780	281.1872551206868
27	810	122.19637079510872
28	840	52.892683119639365
29	870	22.834040602189024
30	900	9.838277380675716
31	930	281.23108297739014
32	960	122.26163289867651
33	990	52.95072681389158
34	1020	22.870388843840157
35	1050	9.858336959348165
36	1080	281.24252495276744
37	1110	122.2800691239258
38	1140	52.978012001079065
39	1170	22.889962182106437
40	1200	9.871286678235435
41	1230	281.26111155806973
42	1260	122.30333122695566
43	1290	53.00889748279172
44	1320	22.91834651707573
45	1350	9.889755270668132
46	1380	281.2771171817627
47	1410	122.32721877992233
48	1440	53.03797711344561
