	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	1	1159	0
2	60	18	1158	10
3	90	105	1051	47
4	120	202	960	61
5	150	242	947	62
6	180	257	956	62
7	210	264	977	78
8	240	314	881	146
9	270	362	838	166
10	300	379	844	170
11	330	381	859	172
12	360	383	849	195
13	390	413	792	248
14	420	439	759	276
15	450	449	762	283
16	480	453	782	283
17	510	455	791	294
18	540	474	735	348
19	570	491	706	377
20	600	435	701	381
21	630	325	716	382
22	660	279	722	398
23	690	279	660	460
24	720	287	639	483
25	750	262	639	489
26	780	207	664	489
27	810	181	655	509
28	840	196	601	569
29	870	220	561	598
30	900	197	576	601
31	930	177	589	601
32	960	164	585	616
33	990	172	546	663
34	1020	179	523	691
35	1050	173	530	692
36	1080	152	544	692
37	1110	141	533	705
38	1140	144	496	746
39	1170	156	484	765
40	1200	152	485	770
41	1230	132	496	771
42	1260	123	496	783
43	1290	127	443	842
44	1320	136	436	857
45	1350	125	446	859
46	1380	97	454	859
47	1410	94	445	883
48	1440	100	412	926
