	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.01379415633136281	0.007204042834365619	-0.004798706930605028	0.01379415633136281	0.007204042834365619	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.113190244347257	0.21866894752673852	0.1697720902955376	0.5378626847397078	0.5	1.0	0.0	0.0	0.4964850615114236	0.0	0.0	1.0	0.0	0.0
1	30	2447.970237959232	0.0	5.0	14.0	42.14867071182034	530.1276593626457	1917.842578596587	0.7494985360149703	0.0	0.014290592143848039	0.0067236060959651	-0.0035307677670948765	0.014290592143848039	0.0067236060959651	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.931930432278854	0.21866894752673852	0.16977209029553764	0.5378626847397078	0.5	1.0	0.0	0.6177739430543572	0.4943917169974116	0.001725625539257981	0.0	0.3059781234594469	0.5285957250265393	0.165426151514015
2	60	2389.8471114598537	0.0	5.0	14.0	69.44689159983113	517.787875158153	1872.0592363017008	0.7485305338406572	0.0	0.013750643452995042	0.003877656399224704	0.0014340024295230994	0.013750643452995042	0.003877656399224704	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.83679097490131	0.21866894752673852	0.16977209029553764	0.5378626847397078	0.5	1.0	0.0	0.10494880546075085	0.48976109215017066	0.19880546075085323	0.0	0.4155802495035609	0.4421133065759033	0.14230644392053576
3	90	2325.8854380886305	0.0	5.0	14.0	95.19514926728102	504.3936857552775	1821.4917523333534	0.7467836013105477	0.0	0.009986828324430761	0.002515239783558428	-0.01046562241370551	0.009986828324430761	0.002515239783558428	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.87808529181756	0.2186689475267386	0.16977209029553758	0.5378626847397079	0.5	1.0	0.0	0.0	0.45161290322580644	0.30046082949308756	0.0	0.6140584845576532	0.2910926395802323	0.0948488758621149
4	120	2280.798666771467	0.0	5.0	14.0	119.77853897704125	495.22679211763165	1785.5718746538307	0.7449870078755095	0.0	0.003235987652022341	-0.003506545208398245	-0.024154828099778116	0.003235987652022341	-0.003506545208398245	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.68194841796911	0.2186689475267387	0.16977209029553753	0.5378626847397079	0.5	1.0	0.0	0.0	0.4031936127744511	0.14171656686626746	0.0	0.7847729572421667	0.16195205812747082	0.053274984630363766
5	150	2236.662955966232	0.0	5.0	14.0	142.4393204345612	486.2987599994364	1750.3641959667912	0.7433465190643768	0.0	-0.0010672938359068934	-0.0018789675210532113	-0.020320234711402943	-0.0010672938359068934	-0.0018789675210532113	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.67394641075114	0.21866894752673877	0.16977209029553753	0.5378626847397079	0.5	1.0	0.0	0.0	0.3783231083844581	0.023517382413087935	0.0	0.8942302335925298	0.07945669256772955	0.026313073839740502
6	180	2209.771158188875	0.0	5.0	14.0	165.62308915487563	481.0808911503021	1728.6902670385723	0.741663788797572	0.0	0.003187065364953191	-0.004691665910602913	-0.018228294299462922	0.003187065364953191	-0.004691665910602913	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.85159474435017	0.21866894752673874	0.16977209029553753	0.5378626847397079	0.5	1.0	0.0	0.5030364372469636	0.37044534412955465	0.00708502024291498	0.0	0.33098914638087135	0.5095608811096066	0.15944997250952148
7	210	2183.4047703261517	0.0	5.0	14.0	187.1633235917209	475.9961364757681	1707.4086338503846	0.7405653723338954	0.0	0.0025319268223973224	-0.0012328252309542658	-0.01514446659135864	0.0025319268223973224	-0.0012328252309542658	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.79039083606693	0.21866894752673874	0.16977209029553753	0.5378626847397079	0.5	1.0	0.0	0.10030395136778116	0.3637284701114488	0.15602836879432624	0.0	0.43647219913983654	0.42634644029116814	0.13718136056899552
8	240	2120.170353570048	0.0	5.0	14.0	202.20289125690587	463.2501075939265	1656.9202459761254	0.7384291463177886	0.0	-0.0027763906054949546	0.0011050175905072271	-0.00752097149515098	-0.0027763906054949546	0.0011050175905072271	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	244.05341368034735	0.21866894752673888	0.16977209029553747	0.537862684739708	0.5	1.0	0.0	0.0	0.3402854006586169	0.22502744237102085	0.0	0.628774572111405	0.27999953337713235	0.09122589451146244
9	270	2077.042271593272	0.0	5.0	14.0	217.96357661235962	454.98526506286686	1622.0570065304046	0.7364114964077649	0.0	-0.0037160005300318597	-0.00929673232930006	-0.009920330900508001	-0.0037160005300318597	-0.00929673232930006	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.77313354400366	0.21866894752673904	0.16977209029553741	0.537862684739708	0.5	1.0	0.0	0.0	0.2971014492753623	0.0893719806763285	0.0	0.793020033823816	0.15576981564003803	0.05121015053614563
