	time	tnf
0	0	0.0
1	30	280.68049875670164
2	60	122.43942185834436
3	90	53.27226787912593
4	120	23.139513216239443
5	150	10.041180449889026
6	180	4.354235440471786
7	210	1.8873661716610375
8	240	0.8178611364518981
9	270	0.35433109279389435
10	300	0.1534860009047367
11	330	0.06647468029623188
12	360	0.028784974502802194
13	390	0.012462033885128313
14	420	0.005394162015280591
15	450	0.002334342917850377
16	480	0.001009971333142562
17	510	0.00043687454294805573
18	540	0.00018892869170461144
19	570	8.168306655279482e-05
20	600	3.530710357905634e-05
21	630	280.746530427122
22	660	122.35870928925733
23	690	53.18748679615723
24	720	23.0798713755247
25	750	10.001708562527593
26	780	4.330265082072378
27	810	1.8736321356851227
28	840	0.8103307997768341
29	870	0.3503374862453482
30	900	0.15141841638580925
31	930	0.06542492557764457
32	960	0.028260167427628168
33	990	0.012203112692091456
34	1020	0.005267944319592385
35	1050	0.002273410069265583
36	1080	0.0009807832945364296
37	1110	0.00042298470735269503
38	1140	0.00018236418968867196
39	1170	7.85985167652965e-05
40	1200	3.38652963741317e-05
41	1230	280.5703709230792
42	1260	122.07674294679494
43	1290	52.949870207512994
44	1320	22.921250129686797
45	1350	9.906982231602791
46	1380	4.2773704703659625
47	1410	1.845421209011853
48	1440	0.7957551327589878
