0	1138	0	0
30	1167	3	0
60	1188	18	9
90	1098	98	51
120	1026	196	67
150	1007	239	70
180	1020	252	71
210	1040	257	71
240	1064	260	71
270	1090	262	71
300	1130	263	71
330	1161	264	71
360	1202	266	71
390	1237	269	71
420	1270	273	71
450	1306	273	71
480	1358	277	71
510	1401	279	71
540	1444	276	71
570	1485	267	71
600	1522	203	71
630	1567	101	71
660	1554	56	119
690	1427	92	244
720	1380	129	286
750	1404	143	295
780	1433	145	295
810	1473	144	295
840	1513	148	295
870	1568	149	295
900	1604	150	295
930	1642	151	295
960	1691	153	295
990	1749	149	295
1020	1792	149	295
1050	1833	152	295
1080	1889	153	295
1110	1954	152	295
1140	2026	153	295
1170	2090	153	295
1200	2132	107	295
1230	2186	66	295
1260	2174	52	361
1290	2031	91	525
1320	2009	131	568
1350	2039	145	572
1380	2089	150	572
1410	2139	150	572
1440	2194	151	572
