	time	tnf
0	0	0.0
1	30	280.20512060855725
2	60	121.62903273588546
3	90	52.44778270242942
4	120	22.508739914399698
5	150	9.634002344444578
6	180	4.117480618701174
7	210	1.7584715410013891
8	240	0.7506591207518548
9	270	0.320332891709121
10	300	0.1366542297023984
11	330	0.05827906224197472
12	360	0.024846348066096258
13	390	0.010589666367105953
14	420	0.004511871918803096
15	450	0.0019216480289303947
16	480	0.0008181680115020026
17	510	0.00034820691246189624
18	540	0.00014813159833959366
19	570	6.298921401964539e-05
20	600	2.6772455738795887e-05
21	630	280.1196357327379
22	660	121.28800787125088
23	690	52.151951213482505
24	720	22.313365958974803
25	750	9.51700500026403
26	780	4.051579087265173
27	810	1.7229687110089036
28	840	0.7321473724976449
29	870	0.3108916471221297
30	900	0.1319296371751424
31	930	0.05595388252117004
32	960	0.023717335185864375
33	990	0.010047085846829448
34	1020	0.004253501669541944
35	1050	0.0017996883472302006
36	1080	0.0007610016822356314
37	1110	0.000321592893354347
38	1140	0.00013581913072573137
39	1170	5.732464617363007e-05
40	1200	2.4179137822879953e-05
41	1230	279.6051356548668
42	1260	120.45664851443512
43	1290	51.42412264099138
44	1320	21.821351604494346
45	1350	9.226917760506563
46	1380	3.893796655174349
47	1410	1.6411157073155962
48	1440	0.6910414506295851
