"id","k1","k2","k3","k4","Eucl","Eucl_alive","Eucl_apoptotic","Eucl_necrotic","DTW","DTW_alive","DTW_apoptotic","DTW_necrotic","l1","l1_alive","l1_apoptotic","l1_necrotic"
1,0.01,0.01,0.01,1e-04,10.4158199525753,5.39726435435226,1.52659940623672,3.49195619198634,59.0436896962165,31.1401595164159,7.54508751275567,20.3584426670449,59.7592546343725,31.5208286402294,7.87998332709806,20.3584426670449
2,0.01,0.01,0.01,0.000311111111111111,11.0730270398364,6.12056427966952,1.46050656818048,3.49195619198634,61.2839612976892,33.9089835873312,7.01653504331308,20.3584426670449,63.5569903064407,35.6772140170255,7.52133362237026,20.3584426670449
3,0.01,0.01,0.01,0.000522222222222222,12.200527659051,7.21504976199005,1.49352170507465,3.49195619198634,67.2781367707416,40.1262417890453,6.79345231465132,20.3584426670449,70.2039226273456,42.2199407008113,7.62553925948939,20.3584426670449
4,0.01,0.01,0.01,0.000733333333333333,13.3446292488058,8.40341946777358,1.44925358904585,3.49195619198634,75.0330271306775,48.0684980052956,6.60608645833697,20.3584426670449,77.3704865660265,49.5653639692495,7.44667992973206,20.3584426670449
5,0.01,0.01,0.01,0.000944444444444444,17.0494363007526,12.1047447481857,1.45273536058058,3.49195619198634,93.5120483943716,67.1073019618381,6.04630376548849,20.3584426670449,98.0166114649427,70.098157839136,7.56001095876179,20.3584426670449
6,0.01,0.01,0.01,0.00115555555555556,20.9245114600524,16.0203857800688,1.41216948799731,3.49195619198634,111.643299046827,85.4000794685051,5.88477691127748,20.3584426670449,118.873166068197,91.1532960449059,7.36142735624617,20.3584426670449
7,0.01,0.01,0.01,0.00136666666666667,26.7749103652266,21.9138688078048,1.36908536543541,3.49195619198634,138.982683757806,112.917714134155,5.706526956606,20.3584426670449,148.847684949085,121.182527817723,7.30671446431684,20.3584426670449
8,0.01,0.01,0.01,0.00157777777777778,36.2386364113311,31.3183688436336,1.42831137571119,3.49195619198634,185.898700133014,159.884520424305,5.65573704166377,20.3584426670449,196.915056609447,168.746463002191,7.81015094021081,20.3584426670449
9,0.01,0.01,0.01,0.00178888888888889,43.5212013623516,38.5997067262084,1.42953844415677,3.49195619198634,218.33485585532,192.428281047785,5.54813214048993,20.3584426670449,231.031304647084,202.80610633795,7.86675564208904,20.3584426670449
10,0.01,0.01,0.01,0.002,58.1393932832356,53.1758044357998,1.47163265544947,3.49195619198634,288.043885495424,261.950058714788,5.73538411359151,20.3584426670449,302.038678335367,273.337963418514,8.34227224980782,20.3584426670449
11,0.01,0.01,0.12,1e-04,10.2671740240319,5.293872822246,1.48134500979959,3.49195619198634,58.0002929495802,30.5565937131472,7.08525656938809,20.3584426670449,58.8260733617675,30.8910849423916,7.57654575233099,20.3584426670449
12,0.01,0.01,0.12,0.000311111111111111,11.063227301308,6.07596367452808,1.49530743479353,3.49195619198634,60.9240034344779,33.4663847224671,7.09917604496589,20.3584426670449,63.4661012631546,35.4933011197017,7.61435747640794,20.3584426670449
13,0.01,0.01,0.12,0.000522222222222222,12.1416306010839,7.14802339976692,1.50165100933067,3.49195619198634,67.0905049371869,39.9015100014935,6.8305522686485,20.3584426670449,70.0014649976449,41.9193107468291,7.72371158377084,20.3584426670449
14,0.01,0.01,0.12,0.000733333333333333,13.4479871891363,8.48088922556802,1.47514177158191,3.49195619198634,75.3425087572694,48.3481187542176,6.63594733600692,20.3584426670449,77.7690838045584,49.9393324645576,7.47130867295588,20.3584426670449
15,0.01,0.01,0.12,0.000944444444444444,16.5440973907937,11.6289958935325,1.42314530527492,3.49195619198634,90.834838872736,64.1140787622293,6.36231744346173,20.3584426670449,94.995389977578,67.3017820225359,7.33516528799716,20.3584426670449
16,0.01,0.01,0.12,0.00115555555555556,20.9116145134492,15.9938127809813,1.42584554048156,3.49195619198634,111.3343316429,85.1170552098823,5.858833765973,20.3584426670449,118.637131871266,90.781685631385,7.49700357283606,20.3584426670449
17,0.01,0.01,0.12,0.00136666666666667,27.9413174002431,23.0054910540917,1.44387015416509,3.49195619198634,145.371120166269,119.391912094147,5.62076540507709,20.3584426670449,155.153286304894,127.049822906609,7.74502073124011,20.3584426670449
18,0.01,0.01,0.12,0.00157777777777778,35.5851194043222,30.6618773589696,1.43128585336618,3.49195619198634,181.627412338647,155.669734687078,5.59923498452337,20.3584426670449,193.115623428174,164.884456739614,7.87272402151594,20.3584426670449
19,0.01,0.01,0.12,0.00178888888888889,44.390148329672,39.4912316302127,1.40696050747294,3.49195619198634,222.774632614254,196.786335363085,5.62985458412398,20.3584426670449,235.198584351747,206.989145381411,7.85099630329097,20.3584426670449
