	time	tnf
0	0	0.0
1	30	280.6777563789902
2	60	122.43675896036218
3	90	53.26937971549299
4	120	23.142350137205653
5	150	10.045094008659861
6	180	4.356982426726628
7	210	1.8890209670508458
8	240	0.8187813149610402
9	270	0.35481239771025386
10	300	0.15372297786045522
11	330	0.06658813109416989
12	360	0.028838073088730494
13	390	0.01248648958199778
14	420	0.0054052866217351855
15	450	0.0023393496382773404
16	480	0.001012203535504483
17	510	0.00043786022811275827
18	540	0.00018936262236963092
19	570	8.187243607675563e-05
20	600	3.538864233887403e-05
21	630	280.73950232165066
22	660	122.3460112153698
23	690	53.17613929132386
24	720	23.072620262196665
25	750	9.997052906036314
26	780	4.32717790666262
27	810	1.8717240159342692
28	840	0.8092127765602084
29	870	0.34970791861820527
30	900	0.1510730419335534
31	930	0.06523983019224094
32	960	0.02816354662591493
33	990	0.012153662943130679
34	1020	0.005242859695074113
35	1050	0.0022608324597558644
36	1080	0.0009745433374229799
37	1110	0.0004199158062518493
38	1140	0.00018086090977557318
39	1170	7.786629162621163e-05
40	1200	3.350998616896804e-05
41	1230	280.48772700470636
42	1260	121.94758747634334
43	1290	52.82926172137281
44	1320	22.831342692653056
45	1350	9.849255685541895
46	1380	4.243420464224596
47	1410	1.8266162876815155
48	1440	0.7857807854555665
