0	1138	0	0
30	1154	3	0
60	1181	7	12
90	1088	89	50
120	997	195	65
150	998	230	67
180	1017	239	67
210	1045	245	67
240	1072	247	67
270	1106	248	67
300	1141	248	67
330	1176	249	67
360	1208	250	67
390	1238	250	67
420	1272	250	67
450	1309	251	67
480	1342	251	67
510	1392	252	67
540	1435	252	67
570	1470	254	67
600	1516	199	67
630	1562	81	67
660	1549	43	115
690	1418	73	237
720	1355	121	277
750	1376	129	278
780	1405	130	278
810	1445	132	278
840	1484	135	278
870	1516	136	278
900	1558	144	278
930	1606	145	278
960	1651	146	278
990	1698	147	278
1020	1739	147	278
1050	1783	147	278
1080	1829	146	278
1110	1880	150	278
1140	1931	149	278
1170	1981	148	278
1200	2037	113	278
1230	2093	59	279
1260	2077	54	339
1290	1958	91	478
1320	1920	126	528
1350	1965	138	532
1380	2015	137	532
1410	2060	136	532
1440	2110	140	532
