	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.028369774953916918	0.0008034445128529635	-0.0057360381128628655	0.028369774953916918	0.0008034445128529635	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.180403044746424	0.8899999999999881	0.449999999999992	1.0	0.5	1.0	0.0	0.0	0.5017574692442882	0.0	0.0	1.0	0.0	0.0
1	30	2453.706281498389	0.0	5.0	14.0	41.958425567590794	531.3298084118803	1922.3764730865128	0.749677243305285	0.0	0.030895371142942003	-0.0017181938192105015	-0.006106023987026125	0.030895371142942003	-0.0017181938192105015	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.90408823004855	0.8899999999999886	0.4499999999999928	1.0	0.5	1.0	0.0	0.7608318890814558	0.5025996533795494	0.0034662045060658577	0.0	0.23339911080011055	0.5289865141276864	0.23761437507220237
2	60	2368.8751857689113	0.0	5.0	14.0	67.64836804826594	513.2179021222186	1855.6572836466937	0.7484563738129152	0.0	0.03463728328638967	-0.006140079934017498	-0.008354610265497244	0.03463728328638967	-0.006140079934017498	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.97725902192954	0.889999999999991	0.44999999999999396	1.0	0.5	1.0	0.0	0.06519898391193904	0.497883149872989	0.20491109229466553	0.0	0.3713410478760063	0.43165252194695364	0.19700643017704123
3	90	2315.1974322340793	0.0	5.0	14.0	93.31488161764695	502.1387593301223	1813.0586729039587	0.7463969232719505	0.0	0.030394728589917378	-0.004663764498699867	0.0020436111374592756	0.030394728589917378	-0.004663764498699867	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.74778423681896	0.8899999999999882	0.44999999999999213	1.0	0.5	1.0	0.0	0.0	0.4641544117647059	0.28125	0.0	0.6065065134440609	0.26963772924118407	0.12385575731475468
4	120	2261.3116338173527	0.0	5.0	14.0	117.24322166499017	491.0877045895493	1770.2239292278007	0.7445015620185185	0.0	0.03458102035863451	-0.005455458462014122	-0.0024414171255357853	0.03458102035863451	-0.005455458462014122	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.98608093118288	0.8899999999999884	0.44999999999999246	1.0	0.5	1.0	0.0	0.0	0.4092276830491474	0.12437311935807423	0.0	0.7962693272059053	0.1393898083950942	0.06434086439900005
5	150	2189.3671517046737	0.0	5.0	14.0	136.50330671342786	476.19091867322516	1713.176233031446	0.7424014113834989	0.0	0.033832762035428274	-0.012120682327170111	-0.0030943123644021566	0.033832762035428274	-0.012120682327170111	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.67839246620414	0.8899999999999884	0.44999999999999246	1.0	0.5	1.0	0.0	0.0	0.3897795591182365	0.03006012024048096	0.0	0.9075507374586984	0.06319969459112636	0.029249567950175408
6	180	2155.611418651251	0.0	5.0	14.0	157.9243424778933	469.63526204809057	1685.9761566031586	0.7404801435663442	0.0	0.03757481383655212	-0.01608761590919224	-0.005958033652034496	0.03757481383655212	-0.01608761590919224	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.8697382561568	0.8899999999999884	0.44999999999999235	1.0	0.5	1.0	0.0	0.0	0.3854473942969518	0.008849557522123894	0.0	0.9598981573612878	0.02740631471002114	0.012695527928690949
7	210	2115.2357448587427	0.0	5.0	14.0	176.5670659904588	461.58995730236893	1653.645787556376	0.7390014851576852	0.0	0.04067109536710355	-0.01914239044671067	-0.0034010441735656135	0.04067109536710355	-0.01914239044671067	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.8614874115916	0.8899999999999884	0.4499999999999923	1.0	0.5	1.0	0.0	0.0	0.38564593301435407	0.0009569377990430622	0.0	0.9830563440490914	0.011577523874162962	0.005366132076745574
8	240	2092.3563311366565	0.0	5.0	14.0	197.27984306907618	457.3566441580907	1634.9996869785707	0.7372627071221127	0.0	0.040605334856151344	-0.01791392346112572	-0.0026426914006316524	0.040605334856151344	-0.01791392346112572	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.9722024451413	0.8899999999999882	0.4499999999999922	1.0	0.5	1.0	0.0	0.0	0.3824626865671642	0.0	0.0	0.9928728286133038	0.004871035790484278	0.0022561355962109064
9	270	2064.381585280432	0.0	5.0	14.0	214.45627655519573	451.95221144241924	1612.4293738380152	0.7357002790424461	0.0	0.04146630586541638	-0.01436730720326776	-0.00019589713453518502	0.04146630586541638	-0.01436730720326776	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.79037661542156	0.8899999999999882	0.4499999999999921	1.0	0.5	1.0	0.0	0.0	0.38155515370705245	0.0	0.0	0.9970159403827431	0.0020392193415782046	0.000944840275679399
